Organisation,SectorJo,RegionCODE,GovCODE,Status,Total,Budget_life,Budget_prevent,Budget_resilient,admin
UNFPA,HEALTH,1,1711,Completed,181089,42000,139089,0,Mafraq
UNFPA,HEALTH,2,1712,Ongoing,160689,21600,139089,0,Zarqa
UNHCR,HEALTH,2,1702,Planned,35322.6,0,35322.6,0,Al Balqa
UNHCR,HEALTH,2,1705,Completed,2940446,2290446,650000,0,Amman
UNHCR,HEALTH,1,1707,Ongoing,1832192,1274091,554201,3900,Irbid
UNHCR,HEALTH,2,1704,Planned,29169.6,0,29169.6,0,Karak
UNHCR,HEALTH,3,1709,Completed,25927.6,0,25927.6,0,Maan
UNHCR,HEALTH,1,1711,Ongoing,1560714.6,1260422.6,296542,3750,Mafraq
UNHCR,HEALTH,2,1712,Planned,586150,518050,66000,2100,Zarqa
UPP,HEALTH,2,1705,Completed,66477,46227,20250,0,Amman
UPP,HEALTH,1,1707,Ongoing,46227,46227,0,0,Irbid
UPP,HEALTH,2,1712,Planned,46227,46227,0,0,Zarqa
WHO,HEALTH,1,1707,Completed,800000,800000,0,0,Irbid
WHO,HEALTH,2,1712,Ongoing,480000,0,0,480000,Zarqa
AVSI,NFI,2,1710,Planned,85490,0,85490,0,Madaba
AVSI,NFI,2,1712,Completed,177350,0,177350,0,Zarqa
CARE,NFI,2,1705,Ongoing,786000,0,786000,0,Amman
CARE,NFI,1,1707,Planned,786000,0,786000,0,Irbid
CARE,NFI,1,1711,Completed,456000,0,456000,0,Mafraq
CARE,NFI,2,1712,Ongoing,472000,0,472000,0,Zarqa
Caritas,NFI,2,1705,Planned,1852600,0,1852600,0,Amman
CHF,NFI,3,1703,Completed,50000,25000,25000,0,Aqaba
CHF,NFI,2,1704,Ongoing,50000,25000,25000,0,Karak
CHF,NFI,3,1709,Planned,50000,25000,25000,0,Maan
CHF,NFI,3,1706,Completed,50000,25000,25000,0,Tafileh
DRC,NFI,2,1705,Ongoing,750730,0,750730,0,Amman
DRC,NFI,2,1704,Planned,265000,0,265000,0,Karak
DRC,NFI,3,1709,Completed,375000,0,375000,0,Maan
DRC,NFI,3,1706,Ongoing,155300,0,155300,0,Tafileh
ICMC,NFI,1,1701,Planned,480000,430000,50000,0,Ajlun
ICMC,NFI,1,1707,Completed,50000,0,50000,0,Irbid
ICMC,NFI,1,1711,Ongoing,50000,0,50000,0,Mafraq
IR,NFI,1,1707,Planned,250000,0,250000,0,Irbid
LWF,NFI,1,1707,Completed,546745,335000,211745,0,Irbid
LWF,NFI,1,1711,Ongoing,546745,335000,211745,0,Mafraq
MA,NFI,1,1707,Planned,160000,0,160000,0,Irbid
MA,NFI,2,1704,Completed,170000,170000,0,0,Karak
MEDAIR,NFI,1,1707,Ongoing,382000,382000,0,0,Irbid
MEDAIR,NFI,1,1711,Planned,1146000,1146000,0,0,Mafraq
Mercy Corps,NFI,2,1705,Completed,350000,0,350000,0,Amman
Mercy Corps,NFI,1,1707,Ongoing,1500000,0,1500000,0,Irbid
Mercy Corps,NFI,1,1708,Planned,200000,0,200000,0,Jarash
Mercy Corps,NFI,1,1711,Completed,1500000,0,1500000,0,Mafraq
MPDL,NFI,2,1712,Ongoing,60000,0,60000,0,Zarqa
NICCOD,NFI,2,1712,Planned,835000,835000,0,0,Zarqa
OPM,NFI,2,1705,Completed,220000,0,220000,0,Amman
OPM,NFI,2,1710,Ongoing,40000,0,40000,0,Madaba
PU-AMI,NFI,2,1712,Planned,434000,0,434000,0,Zarqa
TDHI,NFI,3,1703,Completed,180000,0,180000,0,Aqaba
TDHI,NFI,3,1706,Ongoing,142000,0,142000,0,Tafileh
TGH,NFI,2,1705,Planned,520000,345000,175000,0,Amman
TGH,NFI,1,1707,Completed,349000,238000,111000,0,Irbid
WarChild UK,NFI,1,1707,Ongoing,98730,98730,0,0,Irbid
WVI,NFI,1,1707,Planned,110000,0,110000,0,Irbid
WVI,NFI,1,1711,Completed,2480000,2480000,0,0,Mafraq
WVI,NFI,2,1712,Ongoing,994500,994500,0,0,Zarqa
ACF,PROTECTION,1,1707,Planned,1680000,0,1680000,0,Irbid
AVSI,PROTECTION,3,1703,Completed,315000,0,290000,25000,Aqaba
AVSI,PROTECTION,1,1711,Ongoing,200600,0,165000,35600,Mafraq
AVSI,PROTECTION,2,1712,Planned,200600,0,165000,35600,Zarqa
CARE,PROTECTION,2,1705,Completed,489000,0,0,489000,Amman
CARE,PROTECTION,1,1707,Ongoing,489000,0,0,489000,Irbid
CARE,PROTECTION,1,1711,Planned,489000,0,0,489000,Mafraq
CARE,PROTECTION,2,1712,Completed,783000,0,0,783000,Zarqa
CHF,PROTECTION,1,1707,Ongoing,3130000,0,3130000,0,Irbid
CHF,PROTECTION,1,1711,Planned,3130000,0,3130000,0,Mafraq
CHF,PROTECTION,3,1706,Completed,3130000,0,3130000,0,Tafileh
DRC,PROTECTION,2,1705,Ongoing,4883000,1650000,3004000,229000,Amman
DRC,PROTECTION,2,1704,Planned,455500,0,455500,0,Karak
DRC,PROTECTION,3,1709,Completed,517380,0,490500,26880,Maan
DRC,PROTECTION,1,1711,Ongoing,1230000,0,0,1230000,Mafraq
DRC,PROTECTION,3,1706,Planned,30000,0,30000,0,Tafileh
FCA,PROTECTION,1,1707,Completed,500000,0,0,500000,Irbid
FPSC,PROTECTION,2,1705,Ongoing,178000,0,178000,0,Amman
FPSC,PROTECTION,1,1707,Planned,178000,0,178000,0,Irbid
FPSC,PROTECTION,2,1704,Completed,178000,0,178000,0,Karak
FPSC,PROTECTION,3,1709,Ongoing,178000,0,178000,0,Maan
